message,appropriate
yo Have a nice day lol,1
hi Have a nice day now,1
Have a nice day :),1
hi Have a nice day :),1
yo Have a nice day now,1
hi Have a nice day!,1
hi Have a nice day please,1
hi Have a nice day,1
hi Have a nice day,1
Have a nice day!,1
hi Have a nice day!,1
Have a nice day now,1
hey I like this game today,1
hey I like this game!,1
yo I like this game now,1
yo I like this game :),1
hi I like this game please,1
yo I like this game now,1
yo I like this game now,1
yo I like this game.,1
hi I like this game!,1
I like this game!,1
yo I like this game :),1
I like this game!,1
I like this game :),1
hey I like this game!,1
I like this game,1
hey I like this game,1
hi I like this game.,1
I like this game :),1
hi I like this game lol,1
yo I like this game,1
Can we be friends.,1
hey Can we be friends lol,1
Can we be friends!,1
yo Can we be friends now,1
hi Can we be friends :),1
Can we be friends :),1
Can we be friends lol,1
Can we be friends.,1
Can we be friends!,1
yo Can we be friends now,1
yo Can we be friends.,1
Can we be friends please,1
Can we be friends now,1
hi Can we be friends.,1
hi Can we be friends please,1
hi Can we be friends,1
hi Can we be friends,1
Can we be friends lol,1
Can we be friends today,1
hi Can we be friends now,1
That was fun lol,1
yo That was fun :),1
That was fun lol,1
hi That was fun :),1
hi That was fun now,1
yo That was fun!,1
hi That was fun please,1
hey That was fun today,1
hey That was fun please,1
yo That was fun please,1
yo That was fun lol,1
That was fun!,1
That was fun :),1
That was fun :),1
hi That was fun today,1
That was fun :),1
hi That was fun today,1
hi That was fun!,1
That was fun lol,1
hey That was fun now,1
hey Nice work lol,1
Nice work please,1
hi Nice work please,1
hi Nice work please,1
yo Nice work today,1
yo Nice work lol,1
yo Nice work :),1
Nice work :),1
yo Nice work.,1
Nice work,1
hey Nice work :),1
hi Nice work lol,1
Nice work lol,1
Nice work :),1
yo Nice work :),1
yo Nice work,1
yo Nice work!,1
Nice work,1
yo Nice work!,1
Nice work lol,1
hey Thank you today,1
Thank you!,1
Thank you lol,1
hi Thank you today,1
hi Thank you please,1
hey Thank you!,1
yo Thank you today,1
Thank you.,1
hi Thank you today,1
Thank you!,1
hey Thank you,1
Thank you lol,1
Thank you :),1
Thank you now,1
Thank you :),1
Thank you now,1
hi Thank you today,1
yo Thank you now,1
yo Thank you!,1
Thank you.,1
hey See you later :),1
yo See you later.,1
hey See you later :),1
hey See you later.,1
hey See you later!,1
hi See you later today,1
See you later today,1
yo See you later!,1
hey See you later lol,1
yo See you later today,1
See you later :),1
yo See you later :),1
hi See you later.,1
See you later :),1
hey See you later lol,1
hey See you later.,1
See you later,1
yo See you later lol,1
hi See you later.,1
hi See you later lol,1
